hours_studied,attendance,pass
11,73,1
8,99,1
12,64,1
5,76,1
2,70,0
7,55,1
6,74,0
7,30,1
5,68,1
7,68,1
9,85,1
2,45,0
12,68,1
8,71,0
4,81,1
4,44,0
1,30,0
5,59,0
9,58,0
1,31,0
4,80,1
5,34,0
3,42,0
12,63,1
5,51,0
3,55,0
5,78,0
10,71,1
1,79,0
3,60,0
1,98,1
11,60,1
10,46,1
1,52,0
5,61,1
8,70,1
8,37,1
11,91,0
5,75,1
8,48,1
11,67,1
5,89,0
5,77,1
9,85,1
7,55,1
6,95,0
6,76,1
1,49,0
5,36,0
3,46,0
6,78,0
12,55,1
3,88,0
3,86,0
2,78,1
8,49,0
8,34,0
1,83,0
8,66,1
3,76,0
1,31,0
11,33,0
2,44,0
2,58,1
12,55,1
10,76,1
6,69,0
12,100,1
5,44,1
6,93,1
9,77,1
2,39,1
10,76,0
10,88,1
11,79,1
4,41,1
4,30,0
7,99,1
6,43,0
5,66,1
8,35,1
8,63,1
9,94,1
3,67,0
2,37,0
2,65,1
3,49,0
3,53,1
7,65,1
5,83,0
10,91,0
11,77,1
4,38,0
11,34,0
7,78,1
1,47,0
9,82,1
8,88,1
1,91,0
7,38,1
12,35,1
11,77,1
8,73,1
9,33,1
7,98,1
7,92,1
9,68,1
1,40,0
1,84,1
3,80,0
2,44,1
9,83,1
9,72,1
3,99,0
9,54,0
7,43,1
1,57,0
12,77,1
9,61,0
12,37,1
6,70,0
12,49,1
8,96,1
2,85,1
11,47,1
11,81,1
7,33,0
3,94,0
2,58,0
4,68,0
2,66,0
2,66,1
5,84,1
12,34,0
4,93,1
11,90,1
2,48,1
6,54,1
12,74,1
9,86,0
1,64,1
2,80,0
8,51,0
1,91,0
12,34,1
7,97,1
11,58,1
12,62,1
8,89,1
5,63,1
1,90,0
2,95,0
10,69,1
1,37,0
11,64,0
2,45,1
2,87,1
11,54,1
3,75,0
3,73,1
6,77,0
6,43,0
11,89,1
5,43,1
8,49,1
12,90,1
3,70,1
11,66,1
12,52,0
1,89,0
2,48,1
2,83,1
6,40,0
8,93,1
2,58,0
8,33,1
3,100,0
12,77,1
12,89,0
8,64,1
11,41,1
1,59,1
8,51,0
9,83,1
8,67,1
1,47,0
4,43,1
5,87,0
8,41,0
2,49,1
9,58,0
1,89,0
3,98,1
7,95,1
5,98,1
4,63,1
10,43,1
5,64,0
6,83,1
8,88,1
7,97,1
9,98,1
9,78,1
10,44,0
11,66,1
1,38,0
1,95,1
9,68,1
12,75,1
9,51,1
7,68,1
4,99,0
4,54,0
4,74,1
7,48,1
6,98,1
4,96,1
3,66,1
2,80,0
8,97,1
6,79,1
5,69,0
1,57,1
1,67,1
12,75,1
9,57,1
8,45,0
6,44,1
3,91,1
6,41,0
9,49,1
10,41,0
9,30,0
12,75,1
5,59,0
7,71,0
3,84,0
8,68,1
1,69,1
3,61,0
2,62,0
12,95,1
2,94,1
8,34,0
1,54,1
5,92,1
11,99,1
3,73,1
4,41,1
5,69,1
11,87,1
8,60,1
5,57,1
8,67,1
8,41,1
9,33,1
5,34,0
7,72,1
7,52,1
8,48,0
6,83,1
4,84,1
6,43,0
1,61,0
6,78,1
11,66,1
2,72,0
12,38,1
8,52,1
7,45,0
4,60,0
4,45,0
11,31,1
11,68,1
1,53,0
11,90,1
4,35,0
3,83,0
10,86,1
5,44,1
2,72,0
3,47,1
1,88,1
2,81,1
8,72,1
2,78,1
1,47,0
4,87,1
6,44,1
10,89,1
5,61,0
9,32,1
3,36,0
11,77,1
3,62,0
4,56,0
10,38,1
2,93,0
9,47,0
8,76,0
6,66,0
8,50,1
8,83,0
5,74,1
10,95,1
9,32,1
6,38,0
3,35,0
8,100,1
7,99,1
10,80,1
12,54,1
11,74,1
4,40,1
10,77,1
9,54,0
1,95,0
6,66,0
12,51,1
12,35,1
8,45,1
1,50,0
9,36,1
4,88,1
6,43,1
12,79,0
2,49,0
5,40,0
1,58,0
11,50,1
12,68,1
9,63,1
1,78,0
1,84,1
1,67,0
5,46,1
6,39,1
12,72,1
1,71,0
8,58,1
3,79,0
12,52,1
3,63,1
8,40,0
7,44,0
3,59,0
4,73,1
9,69,1
1,85,1
11,95,0
4,73,0
2,86,1
7,84,1
12,52,1
5,92,1
7,32,1
11,80,1
2,87,0
9,87,1
8,81,1
1,62,0
3,58,1
2,46,0
10,43,1
4,41,0
6,44,1
8,64,0
5,60,1
4,41,0
7,72,1
8,62,1
2,33,0
9,98,1
5,91,0
5,53,0
3,97,0
6,92,0
7,67,1
8,40,1
1,65,1
6,30,0
1,35,0
11,47,1
9,55,1
2,48,0
10,56,1
5,67,0
10,47,0
12,86,1
11,60,1
2,82,0
7,66,1
10,43,1
10,32,0
12,30,1
11,91,1
1,49,0
12,35,0
7,82,1
10,47,1
1,62,0
4,30,1
1,74,1
5,53,0
6,93,0
2,69,0
11,31,1
4,81,1
1,80,0
2,36,1
10,90,1
8,43,1
8,42,0
5,34,1
5,84,1
12,79,1
9,100,1
2,89,1
11,75,1
2,90,1
10,94,1
11,36,1
2,95,0
5,80,1
7,83,1
6,31,0
12,73,1
10,77,1
3,58,1
5,45,0
1,91,0
8,73,1
11,40,1
4,72,0
12,83,1
12,46,1
10,80,1
7,36,0
2,38,1
1,61,0
2,41,1
8,53,1
3,42,1
3,78,0
10,57,1
8,72,1
2,32,0
7,44,0
11,70,1
2,52,0
9,69,1
7,93,0
6,80,1
5,31,0
4,36,0
9,32,1
1,47,1
6,58,1
5,53,0
10,41,1
2,65,0
2,42,0
8,88,1
2,32,0
6,54,0
8,41,0
11,41,1
12,72,1
6,99,1
5,57,0
4,70,1
4,53,0
12,65,1
3,39,0
7,69,1
2,90,0
5,64,0
8,100,0
11,33,1
1,42,0
2,85,0
7,30,0
2,82,0
1,100,0
10,40,0
11,91,1
7,93,1
9,66,1
12,69,1
3,56,0
12,76,1
3,39,0
2,56,1
2,43,0
11,42,1
8,49,1
12,91,1
12,57,0
6,66,0
3,46,1
1,74,1
7,95,1
5,30,0
12,77,1
10,79,1
4,89,1
10,98,1
12,30,0
6,38,0
6,48,1
5,58,0
4,60,0
2,42,1
6,41,1
7,86,1
3,46,1
9,56,0
3,47,1
9,84,1
9,99,1
2,40,0
3,47,0
11,71,1
1,40,1
7,51,1
4,46,0
4,85,0
8,89,0
3,93,1
7,33,1
10,76,1
7,73,1
3,32,0
5,76,1
5,32,0
1,41,0
4,66,0
11,30,1
10,53,1
2,45,0
4,85,1
5,34,1
12,51,0
6,38,0
3,43,1
8,74,0
10,51,1
7,75,1
11,83,1
2,40,0
10,98,1
11,49,1
7,69,1
8,36,0
8,37,0
2,51,0
4,48,1
5,72,1
10,72,1
12,82,1
5,95,1
7,45,0
10,82,1
6,97,1
9,41,0
1,51,1
8,68,1
6,74,0
6,31,0
10,74,1
6,93,1
12,77,1
10,85,1
8,74,1
12,98,1
10,41,1
11,76,1
5,98,1
7,92,1
1,75,1
11,84,1
5,96,1
4,42,0
9,73,1
4,67,0
7,73,1
10,49,1
12,93,1
12,77,1
7,78,1
5,83,1
1,37,1
9,94,1
3,33,0
1,96,1
5,50,0
7,50,0
11,45,0
9,39,1
1,89,0
4,37,1
8,89,1
7,45,0
2,99,1
9,31,0
5,46,0
6,95,1
3,78,0
2,56,0
1,49,0
1,94,1
4,74,0
7,48,1
4,36,0
9,53,1
2,44,0
5,99,1
7,47,0
8,66,0
2,94,0
5,66,0
3,86,0
3,95,1
4,79,0
11,35,1
8,58,0
3,96,0
7,39,1
7,100,0
10,33,1
9,42,1
10,96,1
9,58,0
8,55,1
8,69,0
7,67,1
8,71,1
12,91,1
9,76,1
9,44,1
8,41,1
4,61,0
2,89,1
9,36,0
3,46,0
9,58,1
6,77,0
12,78,1
1,85,0
4,49,1
6,33,0
10,42,0
8,93,1
5,34,1
5,81,1
2,78,0
10,65,0
3,74,1
6,57,1
6,43,1
2,45,1
1,73,1
11,74,1
2,75,1
11,59,1
12,66,1
10,78,1
8,83,0
12,69,1
3,67,1
12,97,1
1,85,1
1,30,0
11,48,0
11,64,1
3,69,0
11,40,0
5,39,0
10,65,1
7,46,1
6,35,0
11,69,1
11,80,0
11,49,0
9,75,1
12,99,1
7,92,0
9,84,1
8,86,0
9,53,1
1,90,0
5,83,1
9,82,0
6,64,1
5,56,0
2,34,0
3,91,1
7,65,1
12,77,1
9,76,0
10,47,1
3,92,0
2,73,1
9,63,1
7,63,0
9,48,1
3,75,1
2,37,1
6,50,1
5,82,1
6,55,1
2,99,0
10,73,0
12,61,1
11,51,1
7,67,1
3,71,0
5,41,1
9,36,0
7,50,0
5,76,1
9,62,1
6,90,1
7,77,1
2,56,0
11,52,0
8,92,1
11,80,1
9,37,1
10,38,0
9,79,1
4,76,1
5,55,1
7,86,1
5,100,1
11,37,1
8,81,1
1,40,0
1,37,0
1,36,0
3,85,1
10,84,1
2,54,0
10,82,1
2,45,0
8,42,0
9,30,0
5,85,1
12,98,1
12,30,1
10,49,1
5,76,0
7,72,1
12,64,0
4,97,0
5,36,1
9,69,1
7,32,0
3,62,1
12,68,1
7,48,0
5,67,1
8,86,1
2,90,0
3,43,1
6,65,0
5,36,0
8,51,1
8,52,0
7,81,1
3,99,0
10,60,0
7,60,0
6,44,0
10,52,1
10,90,1
12,32,1
9,75,1
6,74,0
12,76,1
5,79,0
1,99,1
2,73,1
2,63,0
10,62,1
6,86,1
10,43,1
1,81,0
4,62,1
